temperature,magnetization
0.25,1.0
0.45,1.0
0.65,1.0
0.8500000000000001,0.99985
1.05,0.9987250000000001
1.25,0.9956250000000001
1.4500000000000002,0.9911000000000001
1.6500000000000001,0.97345
1.85,0.9453
2.05,0.9069250000000001
2.25,0.851975
2.45,0.7771
2.6500000000000004,0.713075
2.85,0.6435500000000001
3.0500000000000003,0.5870500000000001
3.25,0.5342
3.45,0.5018750000000001
3.6500000000000004,0.46695000000000003
3.85,0.433475
4.050000000000001,0.40225
4.25,0.39982500000000004
